degree_90,average_nb_degree_90,betweeness_90,eigenvector_90,closeness_90,clustering_90,degree_80,average_nb_degree_80,betweeness_80,eigenvector_80,closeness_80,clustering_80,degree_70,average_nb_degree_70,betweeness_70,eigenvector_70,closeness_70,clustering_70
4,3.0,0.00031273584030131645,-7.068006771317035e-19,0.003422082907240719,0.0,30,25.333333333333332,0.00013132219317754946,0.00032666532529852137,0.0869943417290822,0.367816091954023,110,105.37272727272727,0.0004315423490090311,0.004186112239065079,0.3051306503909975,0.3592994161801501
4,4.25,2.2956524646017516e-05,-9.989523631631255e-19,0.0019129457297864714,0.3333333333333333,32,24.03125,4.15620826266891e-05,-3.5659002638777006e-17,0.08250854555562193,0.32661290322580644,99,99.56565656565657,0.00042867450521176954,0.012927114816535868,0.3030383391422943,0.3894042465471037
0,0.0,0.0,-2.0872847332538918e-18,0.0,0.0,31,26.967741935483872,0.00011771010079138733,-4.076366057105912e-16,0.09020362423491403,0.22795698924731184,112,104.46428571428571,0.00021159640385231927,0.01667477291614293,0.3017465766343506,0.36261261261261263
3,1.3333333333333333,3.4387894385772966e-07,5.838637729938019e-19,0.00040838438138100596,0.0,18,21.27777777777778,0.00015368979545342309,2.4179786465983285e-17,0.08993420593439248,0.32679738562091504,105,99.71428571428571,0.0009482952179326742,0.011186479161633272,0.3095109116235877,0.3639194139194139
1,1.0,0.0,7.620918897693789e-19,0.00012501562695336918,0.0,35,25.542857142857144,0.00013469342670545238,0.008022674727415142,0.0924770917883003,0.3378151260504202,107,100.70093457943925,0.00036554297342280005,0.004465892858095323,0.30481670604374667,0.3729500969846588
0,0.0,0.0,-4.611897387259853e-20,0.0,0.0,16,23.5625,0.0004465655841448271,3.9551754338156895e-05,0.09138153530663519,0.31666666666666665,100,95.2,0.0006172745822387172,0.004197247200845282,0.30393646933657575,0.3278787878787879
6,4.0,0.00014547121382587597,-4.961975118294194e-18,0.00355808123965648,0.4666666666666667,29,25.96551724137931,0.00014746520524103787,0.00024669935457743834,0.09267031046148921,0.3374384236453202,111,104.64864864864865,0.00023379807675746078,0.0055758501853022105,0.3050724637681159,0.3723177723177723
0,0.0,0.0,-3.979280321375661e-19,0.0,0.0,26,30.03846153846154,6.561526015014462e-05,-1.4431475008478397e-17,0.09363570981425498,0.3507692307692308,106,110.68867924528301,0.0002825520381593168,0.025705399529230868,0.3048283220913837,0.3708894878706199
0,0.0,0.0,3.4429347799427685e-19,0.0,0.0,21,21.047619047619047,2.9156022568641648e-05,1.0395585643493625e-05,0.08199764991632358,0.30952380952380953,80,92.8625,8.059779426167138e-05,0.0020682720597307133,0.29517694379866416,0.43955696202531647
2,3.5,0.00025984532104174964,5.992044219473574e-20,0.00463592388039874,0.0,28,28.571428571428573,0.00014251830141695108,-5.6549349479606616e-18,0.0907272273355332,0.3333333333333333,106,111.10377358490567,0.00020097313500581896,0.025982763725869433,0.3031531872962935,0.35759209344115006
6,5.5,0.00011430732383371381,1.0668291459104177e-17,0.0036056774382041694,0.6666666666666666,29,26.103448275862068,5.798743379038815e-05,3.144074007609303e-17,0.0870623380605627,0.3817733990147783,104,102.26923076923077,0.00017696613071292678,0.01046426981845466,0.29850356383177223,0.3577296489917849
2,3.0,0.0,-2.5848467757225765e-18,0.000569838671694427,1.0,29,24.586206896551722,0.00027331770306916975,0.01859056977981525,0.09081595551251809,0.3399014778325123,102,105.04901960784314,0.00012641564979408497,0.005585698916829231,0.2945899163996612,0.37701417200543585
4,2.5,2.6885081065240683e-06,-4.9677604660527074e-18,0.0007373370650923202,0.16666666666666666,18,24.11111111111111,0.00036394580213139496,0.00649791165824697,0.0893196058404733,0.43137254901960786,108,100.25,0.0004681610303364419,0.004982115301981876,0.3052703888867687,0.3362755278643129
1,1.0,0.0,-8.707657380733346e-19,0.00012501562695336918,0.0,25,24.92,0.00012446441409535663,0.017256975077772137,0.09397332633546017,0.27666666666666667,120,102.85833333333333,0.00025150276863269473,0.006384675577137919,0.3002514920611088,0.34243697478991597
1,2.0,0.0,-1.9621171817452945e-18,0.00236527177226278,0.0,21,25.095238095238095,9.065480902759878e-05,7.251455804435885e-05,0.0861418701394174,0.3761904761904762,93,101.70967741935483,0.00013922080471060405,0.0029746380878934416,0.29729428380286926,0.35717625058438524
0,0.0,0.0,6.012661821259829e-19,0.0,0.0,23,24.91304347826087,0.0001299039795510691,4.0850332427472913e-17,0.09013215065846343,0.34782608695652173,115,99.22608695652174,0.0004707172626622089,0.010890865512256521,0.30307278445042246,0.3005339435545385
3,5.0,1.6912591693366524e-05,-1.1190250064057317e-18,0.004142238961914002,0.3333333333333333,24,24.791666666666668,0.00023317456104194017,1.3391577286084216e-06,0.09384228063129935,0.39855072463768115,106,104.17924528301887,0.0004280090024544714,0.0046418324610912045,0.3053752767809422,0.33423180592991913
1,2.0,0.0,4.610920631273518e-19,0.00027177310207254166,0.0,9,21.666666666666668,2.5120476797215883e-06,3.329768326218414e-07,0.08541048045903546,0.5555555555555556,76,96.52631578947368,0.00013583717052686952,0.003072754446605397,0.29852584437395036,0.34
3,3.0,6.408653044621325e-06,3.867385187915789e-09,0.0007849645894164069,0.3333333333333333,25,26.64,0.0006629997503560219,-3.579267057979843e-16,0.09698887151287544,0.3433333333333333,106,106.44339622641509,0.00031154596564956653,0.015829389187426674,0.30668660378805307,0.3353099730458221
4,4.5,3.376265994239528e-05,-8.141363180022187e-19,0.004143173582618405,0.3333333333333333,25,23.6,0.00010717050424117496,1.0739507486263604e-06,0.09217135351667223,0.45666666666666667,97,100.5979381443299,0.00013396074474455877,0.003857653787562939,0.30026276276276276,0.37693298969072164
1,4.0,0.0,1.7835928921623765e-17,0.002758612763815208,0.0,27,31.0,2.5850535197895972e-05,9.703461415346323e-05,0.0855340142009336,0.37606837606837606,98,106.20408163265306,0.0003136759642495811,0.004258583708685895,0.303797949107482,0.4111087734062697
1,1.0,0.0,1.9275039708667585e-18,0.00012501562695336918,0.0,27,23.962962962962962,0.0003619903247658606,-1.9724915965075017e-18,0.09191650505065153,0.2849002849002849,97,98.01030927835052,0.00020459920531188002,0.006598250404878522,0.2997564174629942,0.35330756013745707
1,4.0,0.0,6.393440421792918e-19,0.003300439037930589,0.0,24,25.333333333333332,4.8139106364798474e-05,5.52122995791845e-18,0.0863573203925902,0.37318840579710144,93,97.0752688172043,8.190563007905662e-05,0.006207740405781051,0.2962592592592593,0.4326788218793829
0,0.0,0.0,2.0560660715849048e-19,0.0,0.0,23,24.91304347826087,0.00023996654295119446,1.638002793724018e-17,0.0894939493207008,0.2727272727272727,83,104.57831325301204,0.00017829914764519924,0.016105293707823976,0.3013600572655691,0.35733176608874523
3,3.3333333333333335,1.8600724690486288e-06,1.3855521878184915e-18,0.0008681640760650637,0.6666666666666666,21,22.857142857142858,0.00037479992185040584,0.000931926360999105,0.09173376271545085,0.3952380952380952,89,86.87640449438203,0.00013664136314564892,0.002291417665614189,0.2954931658662726,0.3585291113381001
1,1.0,0.0,2.3097057709187285e-18,0.00012501562695336918,0.0,18,24.22222222222222,0.00029485655767804217,-1.3416791809692217e-17,0.09186289499341889,0.27450980392156865,89,100.43820224719101,9.064408674284008e-05,0.015070473396244736,0.29526410985198037,0.35801838610827375
1,4.0,0.0,1.219726289691953e-18,0.0033325637724180243,0.0,31,24.580645161290324,0.00037891981042447614,-3.454770320989735e-17,0.09516765356766506,0.33763440860215055,89,105.10112359550561,8.831763594452995e-05,0.01858588974889435,0.29690805834972717,0.44484167517875384
