degree_90,average_nb_degree_90,betweeness_90,eigenvector_90,closeness_90,clustering_90,degree_80,average_nb_degree_80,betweeness_80,eigenvector_80,closeness_80,clustering_80,degree_70,average_nb_degree_70,betweeness_70,eigenvector_70,closeness_70,clustering_70
4,3.5,0.0007091755791257815,1.5960117218861198e-18,0.0071491698550147755,0.16666666666666666,32,32.59375,4.811235872017181e-05,-1.2374156208364516e-17,0.0948383838678766,0.31451612903225806,126,136.62698412698413,0.00028312420845555706,0.019529357807277197,0.3040226215451975,0.3945396825396825
2,2.0,4.630705944580684e-05,8.5752253839977e-18,0.00585440414581085,0.0,22,34.54545454545455,0.00011695759595477884,0.0286961056651314,0.09818701565900237,0.354978354978355,127,135.73228346456693,9.821302318729073e-05,0.0036359713146625686,0.30223982105613156,0.37945256842894637
0,0.0,0.0,1.74337723778093e-18,0.0,0.0,19,24.842105263157894,0.0005009473975093069,0.003026386166381071,0.09304463917751334,0.24561403508771928,102,113.19607843137256,8.063947130190393e-05,0.001791004399126679,0.29770446899097863,0.3849737914967967
2,4.0,0.0,-3.260252993984965e-18,0.007172771692663847,1.0,18,33.22222222222222,5.104639110114806e-05,5.069594122752789e-06,0.08552866282610498,0.5032679738562091,119,127.27731092436974,0.00011445298030419589,0.0024130762382839907,0.30213936060917385,0.3389830508474576
5,6.2,5.001500350075016e-09,-3.5448300720475915e-17,0.004894529540767953,0.9,40,34.525,6.584867262305769e-05,-3.542321595926045e-17,0.09732091381327572,0.4205128205128205,132,126.62878787878788,0.00011878799534262855,0.007914558242596847,0.30628560926300313,0.41071015498496416
5,3.6,0.0008573383165190789,-1.0466665592140398e-18,0.006594151165222289,0.2,29,31.448275862068964,6.093196371375439e-05,0.011314199798359884,0.09365868855034166,0.4236453201970443,117,124.58119658119658,7.406099475899918e-05,0.0025055247954559844,0.3014107433532284,0.4211612142646625
3,3.0,2.0006001400300062e-08,-5.9905886232646785e-18,0.0003571785750003572,0.6666666666666666,31,29.06451612903226,0.0009497083918048008,1.1972520050592474e-05,0.09852985298529854,0.3333333333333333,119,124.65546218487395,0.00027038659862800606,0.002577664110378897,0.30815458579881655,0.34097706879361916
0,0.0,0.0,2.710343514059191e-19,0.0,0.0,32,32.0625,2.333751674152186e-05,0.0018087350564029165,0.08459842010137011,0.3346774193548387,109,123.80733944954129,4.62892756640752e-05,0.0018764723449625994,0.2959597454491638,0.4164118246687054
1,1.0,0.0,-4.000326034286314e-18,0.00010001000100010001,0.0,15,23.0,4.7417915741947316e-05,-2.429610534841605e-16,0.09183892616433771,0.22857142857142856,103,119.11650485436893,0.0001068476086647698,0.009731814397111687,0.30024322133141157,0.3249571673329526
6,5.5,0.001867135138802815,0.0010188344482612917,0.010492795081396245,0.4666666666666667,37,33.972972972972975,0.0005750794781072825,-3.990895638998184e-17,0.10103580260633666,0.3303303303303303,131,129.6946564885496,0.0002628136308441509,0.009570082860139332,0.3104411810363563,0.33540810334703464
0,0.0,0.0,6.749160256799051e-19,0.0,0.0,17,28.823529411764707,2.01969277880194e-05,-6.7352190958652e-17,0.08791606333952148,0.27205882352941174,113,126.03539823008849,0.0004696659653827858,0.008854817431582269,0.3129871349422481,0.31052465233881166
2,3.0,0.0012404674704272736,-1.4996904569889787e-18,0.008190986653882447,0.0,31,33.67741935483871,0.00021212605745249015,2.759922876782488e-06,0.09538895008167535,0.3161290322580645,121,127.51239669421487,0.0003375938602584856,0.0030558473613926745,0.30890666996200067,0.39669421487603307
